iter	Logloss
0	0.6220398864
1	0.5607859363
2	0.5072757359
3	0.4601674758
4	0.4219460745
5	0.3907640782
6	0.3658638316
7	0.3449863192
8	0.3269791541
9	0.309893266
10	0.2961712203
11	0.2844479708
12	0.2750379374
13	0.2651926294
14	0.2565463316
15	0.2509125783
16	0.2442940394
17	0.2401324392
18	0.2365289358
19	0.2329090962
20	0.2299899191
21	0.2265298356
22	0.2242221658
23	0.2216394
24	0.2195429019
25	0.2175453985
26	0.2162678335
27	0.2145751432
28	0.212972636
29	0.2117273936
30	0.2101343071
31	0.2089327762
32	0.2082793469
33	0.2074307296
34	0.2067653298
35	0.2059026239
36	0.2048920004
37	0.2043292413
38	0.2034468114
39	0.2029061888
40	0.2023565188
41	0.2013002272
42	0.200451151
43	0.1997861328
44	0.1991478927
45	0.1985573457
46	0.1981100832
47	0.1976635655
48	0.1973369223
49	0.1970683253
50	0.1967864994
51	0.1964610862
52	0.1959955513
53	0.1957283812
54	0.1954879314
55	0.1952011342
56	0.1950069358
57	0.1947230726
58	0.1945375513
59	0.1942556866
60	0.1940240095
61	0.1935942907
62	0.1931497185
63	0.1928279266
64	0.1925636247
65	0.1922740844
66	0.1920304354
67	0.1916632369
68	0.1915508631
69	0.191277765
70	0.1910215102
71	0.1907050113
72	0.1904303241
73	0.1902733022
74	0.1900292065
75	0.1898229856
76	0.1896672898
77	0.1894818046
78	0.1891957964
79	0.1890049337
80	0.18887335
81	0.1887709693
82	0.1883088179
83	0.1880470914
84	0.1878242132
85	0.1876599795
86	0.1873803907
87	0.1871877374
88	0.1869071181
89	0.1867338368
90	0.1865359338
91	0.1864158845
92	0.1861302579
93	0.1860201117
94	0.1859467475
95	0.1857570954
96	0.1856351622
97	0.1854672789
98	0.1853185561
99	0.1850469617
100	0.1848102076
101	0.1846466009
102	0.1844667301
103	0.1843285138
104	0.1842636412
105	0.1841495655
106	0.1837892129
107	0.183526785
108	0.1833974672
109	0.1833043464
110	0.1831645926
111	0.1829767885
112	0.182888779
113	0.1827648839
114	0.1826199455
115	0.1825324027
116	0.1824050843
117	0.1821987954
118	0.1819121503
119	0.1816588919
120	0.1815558392
121	0.1814757005
122	0.1812553182
123	0.1810683766
124	0.1808955004
125	0.1807688474
126	0.1805648322
127	0.1804764944
128	0.1803272895
129	0.1802293048
130	0.180068542
131	0.1799338454
132	0.1798325755
133	0.1797391641
134	0.1796367431
135	0.1795314596
136	0.1793518302
137	0.1792011964
138	0.1791494991
139	0.1790456516
140	0.1789742198
141	0.1788735426
142	0.1788404694
143	0.1786917241
144	0.1785382216
145	0.1784353316
146	0.1783305481
147	0.1782501723
148	0.1781611862
149	0.1779748653
150	0.1779086764
151	0.1778331865
152	0.1777110878
153	0.1776534817
154	0.1775859333
155	0.177535027
156	0.1774021373
157	0.1773341998
158	0.1772704529
159	0.1771855244
160	0.1770783553
161	0.1770127393
162	0.1769060214
163	0.1768311437
164	0.1767491914
165	0.1766628625
166	0.1764942851
167	0.1763540278
168	0.1763150049
169	0.1762817814
170	0.1762379276
171	0.1761439981
172	0.176096985
173	0.1759894377
174	0.1759001116
175	0.1758371383
176	0.1758012081
177	0.1757383319
178	0.1756462825
179	0.1755764621
180	0.1754844983
181	0.1753892812
182	0.1752702375
183	0.1751941709
184	0.1751395127
185	0.1750818984
186	0.1749557772
187	0.1748611504
188	0.1747884429
189	0.1747385779
190	0.174604358
191	0.1744731914
192	0.1743199203
193	0.1742651173
194	0.1741500923
195	0.1741113268
196	0.1740119119
197	0.1738517611
198	0.1736980661
199	0.1736144533
200	0.1735277164
201	0.1734745869
202	0.1734410062
203	0.1732976736
204	0.1732495123
205	0.1731900564
206	0.1731330701
207	0.1729493747
208	0.1728416715
209	0.1728074839
210	0.1727431902
211	0.1726000048
212	0.1724733978
213	0.1723541003
214	0.1723330496
215	0.1722929879
216	0.1722520365
217	0.1722167099
218	0.1721982405
219	0.1721400315
220	0.172102168
221	0.1720186017
222	0.1718480045
223	0.1717843929
224	0.1717394529
225	0.1715935147
226	0.1715005554
227	0.1714344827
228	0.1713800043
229	0.1713001158
230	0.1712182168
231	0.1711286729
232	0.1710166774
233	0.1709781866
234	0.1708780686
235	0.1708280205
236	0.1707646563
237	0.1706928954
238	0.1706345556
239	0.1706172694
240	0.1705556075
241	0.1705047013
242	0.1704443663
243	0.1703907002
244	0.1703582131
245	0.1702879659
246	0.1702237823
247	0.1701701594
248	0.1701331831
249	0.1700853963
250	0.1699817299
251	0.1698975103
252	0.1698528519
253	0.1697951826
254	0.1697421526
255	0.169710228
256	0.1696797893
257	0.1696345246
258	0.1695864187
259	0.1695386604
260	0.1694890609
261	0.169424321
262	0.1693571063
263	0.1692837511
264	0.169250667
265	0.1692052075
266	0.1691620058
267	0.1690007564
268	0.1689677836
269	0.1688472005
270	0.1687512067
271	0.1687121829
272	0.1686878762
273	0.1686698266
274	0.1686170953
275	0.1685412401
276	0.1684933417
277	0.1684633033
278	0.1683998225
279	0.1683887069
280	0.1683066454
281	0.1681920838
282	0.1681593396
283	0.1680940474
284	0.1680822185
285	0.1680225969
286	0.167911292
287	0.1678508199
288	0.1678222181
289	0.1678053573
290	0.1677782113
291	0.1677310299
292	0.1676642917
293	0.1676031545
294	0.1675465648
295	0.1674794397
296	0.1674472815
297	0.1674045779
298	0.1673837438
299	0.1673344646
300	0.1672948581
301	0.167272429
302	0.1672537447
303	0.1672275521
304	0.1671939527
305	0.1671630132
306	0.1671271864
307	0.1671066586
308	0.1670815736
309	0.1670775388
310	0.1670552847
311	0.167015156
312	0.1669496192
313	0.1668899766
314	0.1668656279
315	0.166855449
316	0.1668138937
317	0.166770297
318	0.1667476525
319	0.1666904318
320	0.1666680085
321	0.1666562004
322	0.1666219725
323	0.1665841357
324	0.1665600466
325	0.1665443891
326	0.1665172795
327	0.1664732816
328	0.1663741262
329	0.1662503225
330	0.1662286316
331	0.1661493551
332	0.1661140936
